省份,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合计
中央,0,0,0,0,0,0,0,0,0,0,0,0,0
北京,0,0,0,0,0,0,0,0,0,0,0,0,0
天津,0,0,0,0,0,0,0,0,0,0,0,0,0
河北,0,0,0,0,0,0,0,0,0,0,0,0,0
山西,0,0,0,0,0,1,1,1,4,0,2,0,9
内蒙古,0,0,0,0,0,0,0,0,0,0,0,0,0
辽宁,0,0,0,0,0,0,0,0,0,0,0,0,0
吉林,0,0,0,0,0,0,0,0,0,0,0,2,2
黑龙江,0,0,0,0,0,0,0,0,0,0,0,0,0
上海,0,0,0,0,0,0,0,0,0,0,0,0,0
江苏,0,0,0,0,0,0,0,0,0,0,0,0,0
浙江,0,0,0,0,0,0,0,0,0,0,0,0,0
安徽,0,0,0,0,0,0,0,0,0,0,0,0,0
福建,0,0,0,0,0,0,0,0,0,0,0,0,0
江西,0,0,0,0,0,0,0,0,0,0,0,0,0
山东,0,0,0,0,0,0,0,0,0,0,0,1,1
河南,0,0,0,0,0,0,0,0,0,0,0,0,0
湖北,0,0,0,0,0,0,0,0,0,0,0,0,0
湖南,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,0,0,0,0,0,0,0,0,0,0,0,0,0
广西,0,0,0,0,0,0,0,0,0,0,0,0,0
海南,0,0,0,0,0,0,0,0,0,0,0,0,0
重庆,0,0,0,0,0,0,2,7,15,27,46,150,247
四川,0,0,0,0,0,0,0,0,0,0,4,2,6
贵州,0,0,0,0,0,0,1,0,12,14,27,56,110
云南,0,0,0,0,0,0,0,0,0,0,0,0,0
西藏,0,0,0,0,0,0,0,0,0,0,0,0,0
陕西,0,0,0,0,0,0,0,0,0,0,0,0,0
甘肃,0,0,0,0,0,0,0,0,0,0,0,0,0
青海,0,0,0,0,0,0,0,0,0,0,0,0,0
宁夏,0,0,0,0,0,0,0,0,0,0,0,0,0
新疆,0,0,0,0,0,0,0,0,0,0,0,0,0
全国,0,0,0,0,0,1,4,8,31,41,79,211,375
