省份,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合计
中央,0,0,0,0,0,0,0,0,0,0,0,1,1
北京,0,0,0,0,0,0,0,0,0,0,0,0,0
天津,0,0,0,0,0,0,0,0,0,0,0,0,0
河北,0,0,0,0,0,0,0,0,0,0,0,0,0
山西,1,1,1,6,0,2,3,2,1,4,0,2,23
内蒙古,0,0,0,0,0,0,1,2,3,2,6,65,79
辽宁,0,0,0,0,0,0,0,0,0,0,0,0,0
吉林,0,0,0,21,5,6,0,28,25,5,4,9,103
黑龙江,0,0,0,0,0,0,0,0,0,0,0,0,0
上海,0,0,0,0,0,0,0,0,0,0,0,0,0
江苏,0,0,0,0,0,0,0,0,0,0,0,0,0
浙江,0,0,0,0,0,0,0,0,0,0,0,0,0
安徽,0,0,0,0,0,0,0,0,0,0,0,0,0
福建,17,0,0,0,0,0,0,0,0,0,0,0,17
江西,0,0,0,0,0,0,0,0,0,0,0,0,0
山东,0,0,0,0,0,0,0,0,0,0,0,0,0
河南,0,0,0,0,0,0,0,0,0,0,0,0,0
湖北,0,0,0,0,0,0,0,0,15,0,0,14,29
湖南,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,0,0,0,0,0,0,0,0,0,0,0,1,1
广西,0,0,0,0,0,0,0,0,2,0,3,0,5
海南,1,0,0,1,0,0,1,0,0,0,0,3,6
重庆,48,5,0,40,13,1,0,1,2,0,2,0,112
四川,13,1,0,5,11,28,2,3,8,27,96,23,217
贵州,5,12,1,6,1,4,1,0,1,1,2,2,36
云南,0,0,0,0,0,0,0,0,0,0,67,28,95
西藏,0,0,0,0,0,0,0,0,0,0,0,0,0
陕西,0,0,0,0,0,0,0,0,0,0,0,1,1
甘肃,0,0,0,0,0,0,0,0,0,0,0,0,0
青海,0,0,0,0,0,0,0,0,0,0,0,0,0
宁夏,0,0,0,0,0,0,0,0,0,0,0,0,0
新疆,0,0,0,0,0,0,0,0,0,0,0,1,1
全国,85,19,2,79,30,41,8,36,57,39,180,150,726
