省份,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合计
中央,0,0,0,0,0,0,0,0,0,0,0,0,0
北京,0,0,0,0,0,0,0,0,0,0,0,0,0
天津,5,2,0,0,0,0,0,0,0,0,0,0,7
河北,0,0,0,0,0,0,0,0,0,0,0,0,0
山西,22,14,0,0,0,0,0,0,0,0,0,0,36
内蒙古,11,7,0,0,0,0,0,0,0,0,0,0,18
辽宁,11,105,0,0,0,0,0,0,0,0,0,0,116
吉林,3,1,0,0,0,0,0,0,0,0,0,0,4
黑龙江,53,50,0,0,0,0,0,0,0,0,0,0,103
上海,0,0,0,0,0,0,0,0,0,0,0,0,0
江苏,0,0,0,0,0,0,0,0,0,0,0,0,0
浙江,0,0,0,0,0,0,0,0,0,0,0,0,0
安徽,67,59,0,0,0,0,0,0,0,0,0,0,126
福建,2,0,0,0,0,0,0,0,0,0,0,0,2
江西,1425,27,0,0,0,0,0,0,0,0,0,0,1452
山东,4,1,0,0,0,0,0,0,0,0,0,0,5
河南,0,1,0,0,0,0,0,0,0,0,0,0,1
湖北,54,38,0,0,0,0,0,0,0,0,0,0,92
湖南,0,9,0,0,0,0,0,0,0,0,0,0,9
广东,60,19,0,0,0,0,0,0,0,0,0,0,79
广西,1,0,0,0,0,0,0,0,0,0,0,0,1
海南,1,1,0,0,0,0,0,0,0,0,0,0,2
重庆,0,0,0,0,0,0,0,0,0,0,0,0,0
四川,87,143,0,0,0,0,0,0,0,0,0,0,230
贵州,1,0,0,0,0,0,0,0,0,0,0,0,1
云南,78,22,0,0,0,0,0,0,0,0,0,0,100
西藏,1,0,0,0,0,0,0,0,0,0,0,0,1
陕西,19,3,0,0,0,0,0,0,0,0,0,0,22
甘肃,4,32,0,0,0,0,0,0,0,0,0,0,36
青海,12,12,0,0,0,0,0,0,0,0,0,0,24
宁夏,0,1,0,0,0,0,0,0,0,0,0,0,1
新疆,41,23,0,0,0,0,0,0,0,0,0,0,64
全国,1962,570,0,0,0,0,0,0,0,0,0,0,2532
