省份,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合计
中央,0,0,0,1,0,0,1,0,0,0,1,0,3
北京,0,0,0,0,1,0,0,0,0,0,0,0,1
天津,0,0,0,1,0,0,0,0,0,0,1,3,5
河北,0,0,0,0,0,0,0,0,0,0,0,0,0
山西,0,0,2,15,1,30,138,35,25,22,76,16,360
内蒙古,14,62,146,25,161,240,131,422,166,101,32,89,1589
辽宁,0,0,0,0,1,131,0,0,2,30,22,80,266
吉林,0,0,0,0,0,0,0,0,0,0,0,10,10
黑龙江,0,0,0,0,0,0,0,0,1,1,7,17,26
上海,0,0,0,0,0,0,0,0,0,0,0,0,0
江苏,0,0,0,0,0,0,0,0,0,0,0,0,0
浙江,0,0,0,0,0,0,0,0,0,0,0,0,0
安徽,0,0,0,0,0,0,0,8,7,0,5,7,27
福建,1,1,0,0,0,0,1,104,138,51,263,225,784
江西,0,0,0,0,0,0,0,0,0,0,0,0,0
山东,1,0,0,0,0,0,0,0,0,0,0,0,1
河南,0,0,0,0,0,1,0,0,0,0,0,0,1
湖北,0,0,1,0,0,0,0,1,0,0,70,12,84
湖南,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,36,0,15,23,16,3,2,24,73,54,11,16,273
广西,0,1,37,1,2,0,0,1,2,5,8,31,88
海南,0,0,1,0,0,0,0,0,0,0,0,1,2
重庆,2,2,0,1,0,1,0,0,0,0,2,0,8
四川,8,3,14,10,16,6,27,50,60,17,125,114,450
贵州,1,0,3,6,1,5,3,2,0,1,1,5,28
云南,2,1,2,0,0,0,0,0,0,0,175,284,464
西藏,0,0,0,0,0,0,0,0,0,0,0,0,0
陕西,0,1,1,0,2,0,0,0,0,0,0,0,4
甘肃,2,0,0,0,0,0,0,0,1,2,3,3,11
青海,0,0,0,0,0,0,1,3,11,49,50,75,189
宁夏,17,0,211,268,5,43,10,0,1,0,0,0,555
新疆,0,0,1,0,0,0,4,1,1,0,3,3,13
全国,84,71,434,351,206,460,318,651,488,333,855,991,5242
